customer_id,last_login,complaints,support_tickets,days_since_last_purchase,email_open_rate
CUST-10132,2026-09-03,0,1,28,0.326
CUST-10133,2026-09-07,5,1,83,0.517
CUST-10134,2026-09-06,1,4,11,0.791
CUST-10135,2026-08-25,1,0,15,0.827
CUST-10136,2026-08-20,3,1,40,0.834
CUST-10137,2026-08-28,0,0,29,0.622
CUST-10138,2026-08-18,1,2,46,0.453
CUST-10139,2026-09-06,0,0,39,0.745
CUST-10140,2026-09-01,0,3,30,0.567
CUST-10141,2026-09-07,0,0,112,0.494
CUST-10142,2026-07-22,4,4,72,0.399
CUST-10143,2026-08-29,0,0,49,0.759
CUST-10144,2026-08-28,1,1,16,0.669
CUST-10145,2026-09-05,0,5,43,0.583
CUST-10146,2026-09-06,0,6,11,0.703
CUST-10147,2026-09-04,1,1,23,0.632
CUST-10148,2026-08-22,0,3,97,0.776
CUST-10149,2026-08-04,0,0,46,0.312
CUST-10150,2026-09-06,0,3,270,0.358
CUST-10151,2026-09-03,1,1,49,0.355
CUST-10152,2026-08-27,0,2,87,0.663
CUST-10153,2026-08-22,0,4,17,0.759
CUST-10154,2026-08-28,2,2,162,0.619
CUST-10155,2026-09-07,2,1,13,0.344
CUST-10156,2026-09-07,0,3,33,0.54
CUST-10157,2026-08-23,1,0,187,0.625
CUST-10158,2026-08-19,0,1,30,0.589
CUST-10159,2026-08-25,0,0,88,0.459
CUST-10160,2026-08-07,2,1,46,0.31
CUST-10161,2026-08-21,0,1,124,0.234
CUST-10162,2026-08-21,1,0,97,0.564
CUST-10163,2026-09-07,0,2,31,0.309
CUST-10164,2026-09-03,1,0,117,0.743
CUST-10165,2026-08-28,1,1,85,0.728
CUST-10166,2026-08-10,1,1,75,0.902
CUST-10167,2026-09-07,0,0,40,0.714
CUST-10168,2026-09-06,1,2,25,0.245
CUST-10169,2026-09-06,1,1,23,0.548
CUST-10170,2026-09-07,3,0,76,0.604
CUST-10171,2026-09-07,3,1,26,0.423
CUST-10172,2026-09-05,3,0,278,0.704
CUST-10173,2026-08-24,3,2,92,0.607
CUST-10174,2026-09-03,0,0,31,0.565
CUST-10175,2026-08-31,0,0,144,0.571
CUST-10176,2026-09-07,0,1,37,0.729
CUST-10177,2026-09-05,1,0,37,0.594
CUST-10178,2026-08-31,0,0,18,0.868
CUST-10179,2026-06-24,1,6,17,0.298
CUST-10180,2026-07-01,0,0,52,0.455
CUST-10181,2026-09-02,2,2,28,0.752
CUST-10182,2026-08-31,0,2,309,0.393
CUST-10183,2026-08-31,0,1,12,0.683
CUST-10184,2026-09-04,1,2,48,0.472
CUST-10185,2026-09-05,0,0,13,0.799
CUST-10186,2026-08-19,1,0,33,0.581
CUST-10187,2026-09-04,0,0,55,0.538
CUST-10188,2026-08-19,0,4,129,0.609
CUST-10189,2026-09-07,3,1,14,0.646
CUST-10190,2026-09-01,1,1,23,0.695
CUST-10191,2026-09-07,2,7,22,0.293
CUST-10192,2026-09-07,1,1,47,0.337
CUST-10193,2026-08-13,2,1,126,0.603
CUST-10194,2026-08-26,0,0,34,0.375
CUST-10195,2026-08-25,3,2,66,0.672
CUST-10196,2026-09-03,1,0,127,0.339
CUST-10197,2026-08-25,1,2,63,0.375
CUST-10198,2026-09-04,3,0,91,0.621
CUST-10199,2026-08-09,0,0,14,0.838
CUST-10200,2026-08-14,1,0,49,0.044
CUST-10201,2026-08-23,2,0,39,0.745
CUST-10202,2026-08-24,1,1,13,0.72
CUST-10203,2026-08-20,1,0,72,0.32
CUST-10204,2026-08-25,0,1,19,0.736
CUST-10205,2026-08-05,1,4,202,0.658
CUST-10206,2026-08-16,1,0,130,0.63
CUST-10207,2026-09-03,0,0,71,0.669
CUST-10208,2026-09-03,2,0,32,0.837
CUST-10209,2026-09-03,0,2,89,0.562
CUST-10210,2026-08-18,1,0,43,0.661
CUST-10211,2026-09-04,2,0,84,0.66
CUST-10212,2026-09-05,0,2,18,0.878
CUST-10213,2026-08-30,2,0,33,0.877
CUST-10214,2026-09-02,0,2,52,0.745
CUST-10215,2026-08-14,3,1,18,0.602
CUST-10216,2026-09-07,4,1,415,0.571
CUST-10217,2026-08-15,0,0,105,0.858
CUST-10218,2026-09-07,1,0,21,0.583
CUST-10219,2026-09-05,0,6,91,0.755
CUST-10220,2026-09-05,2,0,83,0.524
CUST-10221,2026-09-05,1,6,138,0.857
CUST-10222,2026-09-01,0,3,105,0.257
CUST-10223,2026-08-14,0,1,34,0.66
CUST-10224,2026-09-04,0,1,36,0.638
CUST-10225,2026-08-30,2,0,482,0.253
CUST-10226,2026-08-07,1,2,77,0.707
CUST-10227,2026-08-29,5,3,52,0.855
CUST-10228,2026-09-05,0,1,21,0.673
CUST-10229,2026-08-19,0,1,14,0.95
CUST-10230,2026-08-14,1,2,29,0.489
CUST-10231,2026-08-25,0,4,30,0.605
CUST-10232,2026-08-22,0,5,54,0.524
CUST-10233,2026-09-07,0,2,13,0.731
CUST-10234,2026-08-31,0,1,100,0.713
CUST-10235,2026-08-03,0,3,16,0.455
CUST-10236,2026-08-06,3,2,269,0.504
CUST-10237,2026-08-30,2,1,78,0.746
CUST-10238,2026-08-28,1,0,25,0.641
CUST-10239,2026-08-31,1,0,14,0.551
CUST-10240,2026-09-06,0,1,33,0.69
CUST-10241,2026-09-07,0,1,25,0.765
CUST-10242,2026-09-02,1,3,11,0.389
CUST-10243,2026-08-04,2,4,43,0.541
CUST-10244,2026-08-19,1,0,127,0.547
CUST-10245,2026-09-01,0,0,34,0.755
CUST-10246,2026-08-18,1,2,387,0.352
CUST-10247,2026-09-07,0,0,12,0.724
CUST-10248,2026-09-03,1,1,16,0.899
CUST-10249,2026-09-05,0,2,117,0.331
CUST-10250,2026-08-14,0,0,11,0.479
CUST-10251,2026-08-28,0,1,17,0.83
CUST-10252,2026-08-12,3,6,14,0.602
CUST-10253,2026-09-04,2,4,92,0.416
CUST-10254,2026-09-05,0,0,82,0.621
CUST-10255,2026-09-06,0,4,60,0.389
CUST-10256,2026-09-02,0,1,135,0.373
CUST-10257,2026-08-25,2,2,33,0.64
CUST-10258,2026-08-02,0,4,29,0.48
CUST-10259,2026-08-17,2,1,152,0.347
CUST-10260,2026-09-02,0,1,82,0.819
CUST-10261,2026-09-07,0,4,22,0.62
CUST-10262,2026-09-04,0,1,215,0.597
CUST-10263,2026-09-07,0,4,108,0.838
CUST-10264,2026-08-29,4,1,58,0.57
CUST-10265,2026-08-17,0,1,72,0.479
CUST-10266,2026-08-19,2,2,28,0.674
CUST-10267,2026-09-07,0,2,11,0.535
CUST-10268,2026-09-04,0,2,68,0.703
CUST-10269,2026-09-07,0,0,12,0.856
CUST-10270,2026-08-30,0,0,69,0.874
CUST-10271,2026-09-06,0,1,63,0.86
CUST-10272,2026-09-03,1,0,88,0.545
CUST-10273,2026-09-07,0,0,25,0.841
CUST-10274,2026-09-07,0,0,22,0.652
CUST-10275,2026-08-27,0,2,27,0.821
CUST-10276,2026-08-25,0,1,37,0.841
CUST-10277,2026-08-05,2,1,248,0.286
CUST-10278,2026-08-17,1,1,76,0.606
CUST-10279,2026-09-06,0,0,99,0.464
CUST-10280,2026-09-05,0,1,18,0.512
CUST-10281,2026-09-02,1,3,148,0.935
CUST-10282,2026-09-06,0,1,41,0.508
CUST-10283,2026-08-22,6,1,47,0.924
CUST-10284,2026-08-29,2,0,145,0.393
CUST-10285,2026-08-28,1,2,20,0.66
CUST-10286,2026-08-22,0,1,64,0.64
CUST-10287,2026-09-04,1,2,46,0.676
CUST-10288,2026-08-20,1,0,63,0.598
CUST-10289,2026-08-24,0,0,20,0.611
CUST-10290,2026-09-03,1,0,59,0.744
CUST-10291,2026-08-18,2,0,36,0.613
CUST-10292,2026-08-19,2,0,54,0.36
CUST-10293,2026-08-18,3,1,29,0.26
CUST-10294,2026-09-04,1,1,18,0.542
CUST-10295,2026-08-04,3,0,85,0.603
CUST-10296,2026-08-22,0,1,58,0.632
CUST-10297,2026-09-07,2,1,33,0.883
CUST-10298,2026-08-24,0,1,75,0.636
CUST-10299,2026-08-28,0,7,15,0.867
CUST-10300,2026-09-03,0,0,141,0.375
CUST-10301,2026-07-29,1,1,36,0.199
CUST-10302,2026-08-26,1,2,36,0.346
CUST-10303,2026-09-07,0,0,14,0.276
CUST-10304,2026-09-07,2,1,32,0.708
CUST-10305,2026-08-31,1,4,51,0.26
CUST-10306,2026-08-27,1,1,35,0.573
CUST-10307,2026-08-14,0,6,104,0.612
CUST-10308,2026-08-27,1,2,131,0.505
CUST-10309,2026-09-03,1,1,15,0.586
CUST-10310,2026-09-07,4,1,39,0.167
CUST-10311,2026-09-05,1,0,106,0.901
CUST-10312,2026-09-04,3,0,80,0.459
CUST-10313,2026-08-26,3,1,307,0.733
CUST-10314,2026-09-03,0,1,14,0.912
CUST-10315,2026-08-23,0,2,24,0.622
CUST-10316,2026-09-01,2,1,88,0.609
CUST-10317,2026-08-23,0,0,46,0.198
CUST-10318,2026-08-12,1,2,41,0.508
CUST-10319,2026-08-17,0,3,39,0.441
CUST-10320,2026-08-06,1,1,52,0.214
CUST-10321,2026-07-27,3,0,14,0.676
CUST-10322,2026-08-25,3,0,33,0.861
CUST-10323,2026-09-06,0,2,33,0.639
CUST-10324,2026-08-21,0,1,25,0.255
CUST-10325,2026-09-02,0,2,33,0.749
CUST-10326,2026-09-03,1,1,84,0.696
CUST-10327,2026-07-11,0,1,69,0.28
CUST-10328,2026-09-07,0,0,64,0.789
CUST-10329,2026-09-05,1,2,16,0.747
CUST-10330,2026-09-07,0,2,102,0.758
CUST-10331,2026-08-24,0,1,40,0.644
CUST-10332,2026-09-01,0,0,28,0.836
CUST-10333,2026-08-29,2,2,89,0.508
CUST-10334,2026-09-07,0,1,13,0.868
CUST-10335,2026-08-27,0,3,36,0.938
CUST-10336,2026-09-07,0,0,75,0.585
CUST-10337,2026-08-30,0,2,54,0.556
CUST-10338,2026-09-04,1,0,34,0.552
CUST-10339,2026-08-29,0,1,17,0.791
CUST-10340,2026-08-05,0,2,31,0.801
CUST-10341,2026-08-25,0,0,72,0.239
CUST-10342,2026-09-04,0,1,13,0.511
CUST-10343,2026-09-03,0,1,548,0.325
CUST-10344,2026-08-24,1,3,57,0.186
CUST-10345,2026-07-25,2,1,96,0.417
CUST-10346,2026-09-01,1,1,59,0.659
CUST-10347,2026-09-07,0,1,12,0.732
CUST-10348,2026-09-05,1,3,70,0.6
CUST-10349,2026-08-22,0,1,11,0.51
CUST-10350,2026-08-12,2,1,30,0.667
CUST-10351,2026-09-03,3,1,101,0.38
CUST-10352,2026-08-06,5,1,13,0.509
CUST-10353,2026-09-07,0,4,37,0.373
CUST-10354,2026-08-18,1,0,29,0.481
CUST-10355,2026-09-01,0,1,21,0.671
CUST-10356,2026-09-07,2,0,31,0.769
CUST-10357,2026-09-07,0,0,12,0.67
CUST-10358,2026-08-09,0,0,15,0.839
CUST-10359,2026-08-13,0,1,82,0.262
CUST-10360,2026-09-04,2,1,22,0.517
