customer_id,name,join_date,segment,region,total_orders
CUST-10042,Aether Systems,2025-10-29,Starter,South,4
CUST-10043,Sable Energy,2026-03-05,Enterprise,East,7
CUST-10044,Meridian Retail,2026-02-26,Enterprise,West,13
CUST-10045,Pinnacle Capital,2025-10-11,Growth,Central,7
CUST-10046,Orion Metals,2024-06-08,Enterprise,North,16
CUST-10047,Lumen Motors,2024-11-02,Growth,South,11
CUST-10048,Atlas Logistics,2024-10-05,Growth,East,11
CUST-10049,Harbor Works,2026-01-01,Growth,West,7
CUST-10050,Zenith Media,2026-05-06,Enterprise,Central,11
CUST-10051,Quanta Labs,2025-07-08,Growth,North,12
CUST-10052,Solace Foods,2026-05-23,Starter,South,3
CUST-10053,Vertex Health,2026-02-25,Growth,East,7
CUST-10054,Keel Systems,2025-12-18,Growth,West,5
CUST-10055,Helios Energy,2024-10-23,Enterprise,Central,15
CUST-10056,Northwind Retail,2025-07-06,Enterprise,North,7
CUST-10057,Vanta Capital,2025-09-04,Growth,South,7
CUST-10058,Kodiak Metals,2025-10-12,Growth,East,8
CUST-10059,Nimbus Motors,2024-11-24,Enterprise,West,6
CUST-10060,Aether Logistics,2026-01-14,Growth,Central,8
CUST-10061,Sable Works,2024-11-23,Starter,North,5
CUST-10062,Meridian Media,2026-05-04,Growth,South,11
CUST-10063,Pinnacle Labs,2025-10-21,Growth,East,8
CUST-10064,Orion Foods,2026-01-04,Starter,West,5
CUST-10065,Lumen Health,2025-10-16,Growth,Central,10
CUST-10066,Atlas Systems,2026-05-20,Growth,North,8
CUST-10067,Harbor Energy,2026-02-20,Starter,South,11
CUST-10068,Zenith Retail,2024-12-18,Enterprise,East,11
CUST-10069,Quanta Capital,2025-08-28,Enterprise,West,8
CUST-10070,Solace Metals,2026-02-19,Enterprise,Central,10
CUST-10071,Vertex Motors,2025-09-28,Growth,North,12
CUST-10072,Keel Logistics,2025-10-19,Growth,South,6
CUST-10073,Helios Works,2024-06-18,Enterprise,East,6
CUST-10074,Northwind Media,2026-05-21,Growth,West,12
CUST-10075,Vanta Labs,2026-01-01,Growth,Central,2
CUST-10076,Kodiak Foods,2024-04-15,Starter,North,7
CUST-10077,Nimbus Health,2024-06-30,Growth,South,9
CUST-10078,Aether Systems,2024-09-28,Starter,East,5
CUST-10079,Sable Energy,2026-01-16,Starter,West,3
CUST-10080,Meridian Retail,2026-01-02,Growth,Central,6
CUST-10081,Pinnacle Capital,2026-01-27,Growth,North,4
CUST-10082,Orion Metals,2024-11-07,Enterprise,South,8
CUST-10083,Lumen Motors,2025-01-31,Growth,East,8
CUST-10084,Atlas Logistics,2025-03-10,Growth,West,5
CUST-10085,Harbor Works,2025-05-30,Growth,Central,10
CUST-10086,Zenith Media,2026-05-30,Enterprise,North,9
CUST-10087,Quanta Labs,2024-10-30,Growth,South,8
CUST-10088,Solace Foods,2025-01-01,Enterprise,East,16
CUST-10089,Vertex Health,2025-04-28,Growth,West,17
CUST-10090,Keel Systems,2026-03-13,Growth,Central,8
CUST-10091,Helios Energy,2025-01-18,Growth,North,11
CUST-10092,Northwind Retail,2024-11-24,Growth,South,9
CUST-10093,Vanta Capital,2024-05-21,Growth,East,6
CUST-10094,Kodiak Metals,2025-07-01,Growth,West,22
CUST-10095,Nimbus Motors,2026-03-20,Growth,Central,6
CUST-10096,Aether Logistics,2025-03-10,Starter,North,5
CUST-10097,Sable Works,2025-10-27,Starter,South,5
CUST-10098,Meridian Media,2024-05-30,Enterprise,East,7
CUST-10099,Pinnacle Labs,2026-04-14,Enterprise,West,9
CUST-10100,Orion Foods,2026-04-15,Starter,Central,3
CUST-10101,Lumen Health,2024-11-05,Enterprise,North,8
CUST-10102,Atlas Systems,2025-03-22,Enterprise,South,11
CUST-10103,Harbor Energy,2025-09-11,Enterprise,East,13
CUST-10104,Zenith Retail,2024-05-29,Growth,West,11
CUST-10105,Quanta Capital,2024-11-08,Enterprise,Central,11
CUST-10106,Solace Metals,2024-06-23,Growth,North,7
CUST-10107,Vertex Motors,2025-10-30,Enterprise,South,8
CUST-10108,Keel Logistics,2024-08-18,Starter,East,5
CUST-10109,Helios Works,2024-08-16,Growth,West,7
CUST-10110,Northwind Media,2024-06-29,Enterprise,Central,6
CUST-10111,Vanta Labs,2026-05-01,Enterprise,North,10
CUST-10112,Kodiak Foods,2024-09-20,Enterprise,South,9
CUST-10113,Nimbus Health,2024-06-14,Enterprise,East,15
CUST-10114,Aether Systems,2026-05-25,Enterprise,West,11
CUST-10115,Sable Energy,2024-06-30,Starter,Central,3
CUST-10116,Meridian Retail,2026-01-29,Growth,North,8
CUST-10117,Pinnacle Capital,2026-02-07,Enterprise,South,9
CUST-10118,Orion Metals,2024-07-26,Growth,East,7
CUST-10119,Lumen Motors,2025-05-25,Starter,West,6
CUST-10120,Atlas Logistics,2025-02-04,Growth,Central,8
CUST-10121,Harbor Works,2026-01-29,Starter,North,4
CUST-10122,Zenith Media,2024-07-27,Growth,South,4
CUST-10123,Quanta Labs,2025-01-02,Enterprise,East,11
CUST-10124,Solace Foods,2026-03-08,Enterprise,West,7
CUST-10125,Vertex Health,2026-05-08,Growth,Central,11
CUST-10126,Keel Systems,2024-08-30,Starter,North,2
CUST-10127,Helios Energy,2025-02-06,Growth,South,3
CUST-10128,Northwind Retail,2025-12-10,Growth,East,13
CUST-10129,Vanta Capital,2025-08-08,Starter,West,5
CUST-10130,Kodiak Metals,2025-07-09,Growth,Central,8
CUST-10131,Nimbus Motors,2026-04-08,Growth,North,7
CUST-10132,Aether Logistics,2024-10-13,Growth,South,7
CUST-10133,Sable Works,2025-09-03,Starter,East,2
CUST-10134,Meridian Media,2026-06-06,Enterprise,West,11
CUST-10135,Pinnacle Labs,2025-03-28,Enterprise,Central,12
CUST-10136,Orion Foods,2025-09-17,Growth,North,10
CUST-10137,Lumen Health,2024-04-28,Growth,South,7
CUST-10138,Atlas Systems,2025-03-19,Starter,East,4
CUST-10139,Harbor Energy,2024-10-22,Enterprise,West,11
CUST-10140,Zenith Retail,2026-04-20,Enterprise,Central,10
CUST-10141,Quanta Capital,2025-12-14,Growth,North,4
CUST-10142,Solace Metals,2025-06-06,Starter,South,6
CUST-10143,Vertex Motors,2025-04-04,Growth,East,7
CUST-10144,Keel Logistics,2025-02-02,Starter,West,7
CUST-10145,Helios Works,2024-04-01,Growth,Central,7
CUST-10146,Northwind Media,2026-04-27,Starter,North,3
CUST-10147,Vanta Labs,2025-07-12,Growth,South,7
CUST-10148,Kodiak Foods,2024-06-30,Growth,East,9
CUST-10149,Nimbus Health,2025-01-22,Starter,West,5
CUST-10150,Aether Systems,2024-09-11,Starter,Central,5
CUST-10151,Sable Energy,2025-10-11,Enterprise,North,7
CUST-10152,Meridian Retail,2024-09-18,Starter,South,8
CUST-10153,Pinnacle Capital,2026-01-16,Starter,East,6
CUST-10154,Orion Metals,2024-04-20,Growth,West,3
CUST-10155,Lumen Motors,2024-08-13,Growth,Central,9
CUST-10156,Atlas Logistics,2024-05-26,Enterprise,North,10
CUST-10157,Harbor Works,2025-04-23,Growth,South,3
CUST-10158,Zenith Media,2025-11-22,Growth,East,6
CUST-10159,Quanta Labs,2024-12-01,Enterprise,West,13
CUST-10160,Solace Foods,2026-02-04,Starter,Central,5
CUST-10161,Vertex Health,2024-12-23,Starter,North,5
CUST-10162,Keel Systems,2024-12-25,Enterprise,South,10
CUST-10163,Helios Energy,2025-09-12,Starter,East,9
CUST-10164,Northwind Retail,2024-04-12,Growth,West,8
CUST-10165,Vanta Capital,2026-02-25,Enterprise,Central,6
CUST-10166,Kodiak Metals,2024-06-02,Enterprise,North,11
CUST-10167,Nimbus Motors,2025-12-02,Growth,South,8
CUST-10168,Aether Logistics,2025-12-14,Growth,East,7
CUST-10169,Sable Works,2025-07-09,Enterprise,West,7
CUST-10170,Meridian Media,2026-03-09,Starter,Central,4
CUST-10171,Pinnacle Labs,2025-10-10,Growth,North,14
CUST-10172,Orion Foods,2025-05-20,Growth,South,12
CUST-10173,Lumen Health,2025-11-06,Growth,East,14
CUST-10174,Atlas Systems,2024-06-23,Enterprise,West,11
CUST-10175,Harbor Energy,2025-10-23,Enterprise,Central,11
CUST-10176,Zenith Retail,2025-09-22,Enterprise,North,13
CUST-10177,Quanta Capital,2025-08-06,Growth,South,10
CUST-10178,Solace Metals,2025-10-30,Enterprise,East,10
CUST-10179,Vertex Motors,2026-03-21,Growth,West,9
CUST-10180,Keel Logistics,2025-12-16,Starter,Central,4
CUST-10181,Helios Works,2024-09-29,Growth,North,6
CUST-10182,Northwind Media,2024-11-10,Starter,South,8
CUST-10183,Vanta Labs,2024-09-13,Enterprise,East,10
CUST-10184,Kodiak Foods,2025-12-18,Growth,West,13
CUST-10185,Nimbus Health,2026-02-24,Enterprise,Central,7
CUST-10186,Aether Systems,2024-09-10,Growth,North,10
CUST-10187,Sable Energy,2024-06-04,Growth,South,9
CUST-10188,Meridian Retail,2025-07-29,Growth,East,7
CUST-10189,Pinnacle Capital,2025-11-05,Growth,West,12
CUST-10190,Orion Metals,2026-05-23,Enterprise,Central,11
CUST-10191,Lumen Motors,2024-12-09,Growth,North,11
CUST-10192,Atlas Logistics,2024-09-07,Growth,South,9
CUST-10193,Harbor Works,2024-11-26,Growth,East,3
CUST-10194,Zenith Media,2025-03-20,Growth,West,11
CUST-10195,Quanta Labs,2024-09-02,Enterprise,Central,10
CUST-10196,Solace Foods,2025-02-22,Growth,North,5
CUST-10197,Vertex Health,2026-02-02,Starter,South,6
CUST-10198,Keel Systems,2025-11-18,Growth,East,10
CUST-10199,Helios Energy,2026-05-09,Enterprise,West,6
CUST-10200,Northwind Retail,2025-02-21,Starter,Central,6
CUST-10201,Vanta Capital,2025-04-25,Growth,North,10
CUST-10202,Kodiak Metals,2024-09-16,Enterprise,South,17
CUST-10203,Nimbus Motors,2025-02-13,Starter,East,14
CUST-10204,Aether Logistics,2026-02-28,Starter,West,5
CUST-10205,Sable Works,2024-05-19,Starter,Central,6
CUST-10206,Meridian Media,2024-08-09,Growth,North,8
CUST-10207,Pinnacle Labs,2024-07-26,Growth,South,12
CUST-10208,Orion Foods,2024-05-06,Growth,East,11
CUST-10209,Lumen Health,2024-08-09,Growth,West,3
CUST-10210,Atlas Systems,2025-06-27,Enterprise,Central,14
CUST-10211,Harbor Energy,2026-02-27,Enterprise,North,6
CUST-10212,Zenith Retail,2026-04-21,Enterprise,South,11
CUST-10213,Quanta Capital,2024-04-01,Enterprise,East,5
CUST-10214,Solace Metals,2024-12-26,Growth,West,9
CUST-10215,Vertex Motors,2025-11-24,Enterprise,Central,20
CUST-10216,Keel Logistics,2024-07-07,Growth,North,4
CUST-10217,Helios Works,2024-11-17,Enterprise,South,9
CUST-10218,Northwind Media,2026-05-29,Growth,East,10
CUST-10219,Vanta Labs,2025-12-04,Enterprise,West,9
CUST-10220,Kodiak Foods,2025-04-05,Enterprise,Central,12
CUST-10221,Nimbus Health,2025-10-12,Growth,North,13
CUST-10222,Aether Systems,2024-06-14,Growth,South,10
CUST-10223,Sable Energy,2025-04-04,Growth,East,7
CUST-10224,Meridian Retail,2025-08-15,Growth,West,10
CUST-10225,Pinnacle Capital,2024-07-16,Starter,Central,3
CUST-10226,Orion Metals,2025-04-04,Growth,North,5
CUST-10227,Lumen Motors,2025-04-15,Enterprise,South,9
CUST-10228,Atlas Logistics,2026-03-29,Enterprise,East,13
CUST-10229,Harbor Works,2026-02-10,Enterprise,West,11
CUST-10230,Zenith Media,2026-02-11,Growth,Central,9
CUST-10231,Quanta Labs,2025-03-25,Starter,North,5
CUST-10232,Solace Foods,2024-04-06,Enterprise,South,9
CUST-10233,Vertex Health,2025-12-06,Enterprise,East,10
CUST-10234,Keel Systems,2025-11-23,Enterprise,West,6
CUST-10235,Helios Energy,2025-10-06,Growth,Central,7
CUST-10236,Northwind Retail,2024-09-28,Starter,North,3
CUST-10237,Vanta Capital,2025-05-04,Growth,South,6
CUST-10238,Kodiak Metals,2025-02-20,Starter,East,6
CUST-10239,Nimbus Motors,2026-04-04,Growth,West,9
CUST-10240,Aether Logistics,2026-01-18,Growth,Central,12
CUST-10241,Sable Works,2025-12-11,Growth,North,11
CUST-10242,Meridian Media,2026-04-29,Starter,South,5
CUST-10243,Pinnacle Labs,2024-07-15,Growth,East,13
CUST-10244,Orion Foods,2025-10-04,Starter,West,8
CUST-10245,Lumen Health,2026-04-23,Enterprise,Central,10
CUST-10246,Atlas Systems,2025-02-02,Starter,North,4
CUST-10247,Harbor Energy,2025-04-22,Enterprise,South,11
CUST-10248,Zenith Retail,2026-04-22,Enterprise,East,7
CUST-10249,Quanta Capital,2024-07-31,Starter,West,5
CUST-10250,Solace Metals,2026-03-24,Growth,Central,7
CUST-10251,Vertex Motors,2025-04-18,Growth,North,4
CUST-10252,Keel Logistics,2025-09-08,Growth,South,8
CUST-10253,Helios Works,2025-09-24,Growth,East,4
CUST-10254,Northwind Media,2025-03-03,Enterprise,West,15
CUST-10255,Vanta Labs,2025-05-08,Starter,Central,6
CUST-10256,Kodiak Foods,2025-05-20,Growth,North,7
CUST-10257,Nimbus Health,2026-03-17,Growth,South,4
CUST-10258,Aether Systems,2026-06-09,Starter,East,5
CUST-10259,Sable Energy,2025-02-19,Starter,West,5
CUST-10260,Meridian Retail,2025-12-30,Enterprise,Central,12
CUST-10261,Pinnacle Capital,2024-03-31,Enterprise,North,17
CUST-10262,Orion Metals,2025-01-02,Growth,South,5
CUST-10263,Lumen Motors,2024-11-22,Enterprise,East,7
CUST-10264,Atlas Logistics,2025-12-30,Growth,West,10
CUST-10265,Harbor Works,2024-04-20,Growth,Central,13
CUST-10266,Zenith Media,2024-08-16,Enterprise,North,13
CUST-10267,Quanta Labs,2026-06-02,Growth,South,9
CUST-10268,Solace Foods,2025-05-12,Enterprise,East,7
CUST-10269,Vertex Health,2026-05-25,Enterprise,West,12
CUST-10270,Keel Systems,2025-11-07,Enterprise,Central,9
CUST-10271,Helios Energy,2025-07-24,Enterprise,North,6
CUST-10272,Northwind Retail,2025-10-08,Enterprise,South,11
CUST-10273,Vanta Capital,2025-12-16,Enterprise,East,10
CUST-10274,Kodiak Metals,2025-10-10,Enterprise,West,11
CUST-10275,Nimbus Motors,2025-11-13,Growth,Central,15
CUST-10276,Aether Logistics,2024-08-08,Enterprise,North,11
CUST-10277,Sable Works,2025-07-18,Starter,South,4
CUST-10278,Meridian Media,2024-06-12,Enterprise,East,12
CUST-10279,Pinnacle Labs,2024-11-24,Starter,West,4
CUST-10280,Orion Foods,2026-03-13,Growth,Central,8
CUST-10281,Lumen Health,2024-07-21,Growth,North,6
CUST-10282,Atlas Systems,2025-08-13,Growth,South,8
CUST-10283,Harbor Energy,2025-12-04,Enterprise,East,9
CUST-10284,Zenith Retail,2024-06-30,Starter,West,6
CUST-10285,Quanta Capital,2025-07-05,Starter,Central,5
CUST-10286,Solace Metals,2025-01-14,Growth,North,7
CUST-10287,Vertex Motors,2025-03-29,Enterprise,South,6
CUST-10288,Keel Logistics,2025-03-29,Enterprise,East,4
CUST-10289,Helios Works,2025-08-05,Enterprise,West,8
CUST-10290,Northwind Media,2025-05-11,Starter,Central,2
CUST-10291,Vanta Labs,2024-11-09,Growth,North,9
CUST-10292,Kodiak Foods,2024-08-04,Growth,South,8
CUST-10293,Nimbus Health,2024-05-07,Growth,East,13
CUST-10294,Aether Systems,2024-11-18,Starter,West,7
CUST-10295,Sable Energy,2025-03-20,Growth,Central,5
CUST-10296,Meridian Retail,2024-08-23,Growth,North,7
CUST-10297,Pinnacle Capital,2024-03-25,Enterprise,South,12
CUST-10298,Orion Metals,2025-01-04,Growth,East,12
CUST-10299,Lumen Motors,2025-12-25,Enterprise,West,7
CUST-10300,Atlas Logistics,2024-11-08,Starter,Central,14
CUST-10301,Harbor Works,2025-10-16,Starter,North,7
CUST-10302,Zenith Media,2024-06-04,Enterprise,South,12
CUST-10303,Quanta Labs,2025-10-31,Growth,East,10
CUST-10304,Solace Foods,2026-03-18,Growth,West,9
CUST-10305,Vertex Health,2025-01-17,Starter,Central,9
CUST-10306,Keel Systems,2026-02-11,Growth,North,9
CUST-10307,Helios Energy,2024-09-09,Growth,South,8
CUST-10308,Northwind Retail,2024-04-26,Growth,East,12
CUST-10309,Vanta Capital,2025-05-23,Enterprise,West,11
CUST-10310,Kodiak Metals,2025-09-21,Starter,Central,8
CUST-10311,Nimbus Motors,2024-08-31,Enterprise,North,14
CUST-10312,Aether Logistics,2024-12-27,Enterprise,South,5
CUST-10313,Sable Works,2024-11-04,Growth,East,10
CUST-10314,Meridian Media,2025-11-14,Enterprise,West,9
CUST-10315,Pinnacle Labs,2024-04-19,Enterprise,Central,12
CUST-10316,Orion Foods,2024-09-10,Growth,North,10
CUST-10317,Lumen Health,2025-11-20,Growth,South,8
CUST-10318,Atlas Systems,2025-06-21,Growth,East,8
CUST-10319,Harbor Energy,2024-03-27,Starter,West,6
CUST-10320,Zenith Retail,2026-03-18,Growth,Central,7
CUST-10321,Quanta Capital,2026-01-11,Enterprise,North,9
CUST-10322,Solace Metals,2025-09-21,Enterprise,South,8
CUST-10323,Vertex Motors,2024-09-22,Growth,East,7
CUST-10324,Keel Logistics,2026-04-25,Growth,West,6
CUST-10325,Helios Works,2026-02-02,Enterprise,Central,11
CUST-10326,Northwind Media,2024-11-03,Growth,North,7
CUST-10327,Vanta Labs,2024-12-18,Starter,South,3
CUST-10328,Kodiak Foods,2024-07-14,Growth,East,12
CUST-10329,Nimbus Health,2025-10-18,Enterprise,West,11
CUST-10330,Aether Systems,2024-08-02,Enterprise,Central,12
CUST-10331,Sable Energy,2026-01-20,Starter,North,5
CUST-10332,Meridian Retail,2025-12-12,Enterprise,South,11
CUST-10333,Pinnacle Capital,2024-04-03,Growth,East,7
CUST-10334,Orion Metals,2024-10-31,Enterprise,West,8
CUST-10335,Lumen Motors,2025-09-20,Enterprise,Central,6
CUST-10336,Atlas Logistics,2025-08-01,Enterprise,North,10
CUST-10337,Harbor Works,2024-05-11,Growth,South,9
CUST-10338,Zenith Media,2024-08-07,Enterprise,East,5
CUST-10339,Quanta Labs,2026-02-06,Growth,West,8
CUST-10340,Solace Foods,2026-02-13,Starter,Central,7
CUST-10341,Vertex Health,2025-01-30,Starter,North,5
CUST-10342,Keel Systems,2026-06-04,Growth,South,8
CUST-10343,Helios Energy,2024-06-15,Starter,East,3
CUST-10344,Northwind Retail,2026-04-21,Starter,West,4
CUST-10345,Vanta Capital,2024-11-30,Starter,Central,5
CUST-10346,Kodiak Metals,2025-10-30,Enterprise,North,12
CUST-10347,Nimbus Motors,2026-05-12,Enterprise,South,6
CUST-10348,Aether Logistics,2024-11-03,Growth,East,8
CUST-10349,Sable Works,2025-01-02,Growth,West,10
CUST-10350,Meridian Media,2024-07-22,Enterprise,Central,15
CUST-10351,Pinnacle Labs,2024-09-17,Starter,North,6
CUST-10352,Orion Foods,2025-07-08,Starter,South,11
CUST-10353,Lumen Health,2026-04-24,Growth,East,6
CUST-10354,Atlas Systems,2025-09-23,Growth,West,17
CUST-10355,Harbor Energy,2025-09-30,Enterprise,Central,13
CUST-10356,Zenith Retail,2025-09-25,Enterprise,North,5
CUST-10357,Quanta Capital,2025-09-10,Enterprise,South,11
CUST-10358,Solace Metals,2025-02-10,Growth,East,6
CUST-10359,Vertex Motors,2024-11-01,Starter,West,4
CUST-10360,Keel Logistics,2026-03-25,Enterprise,Central,15
